t	<U>	<P>
2.01	2.66672	4.60611
2.02	2.65943	4.52109
2.03	2.62283	4.38659
2.04	2.65669	4.39142
2.05	2.64809	4.36983
2.06	2.68734	4.40462
2.07	2.67989	4.3893
2.08	2.7158	4.48937
2.09	2.6861	4.39982
2.1	2.66288	4.32677
2.11	2.72033	4.45747
2.12	2.67699	4.35262
2.13	2.65806	4.29294
2.14	2.64315	4.20284
2.15	2.61304	4.08603
2.16	2.65256	4.24202
2.17	2.69926	4.38235
2.18	2.68872	4.3863
2.19	2.68257	4.40491
2.2	2.67031	4.32471
2.21	2.6522	4.27617
2.22	2.62785	4.21486
2.23	2.61163	4.17021
2.24	2.60856	4.11097
2.25	2.68933	4.33084
2.26	2.66467	4.27637
2.27	2.60854	4.13851
2.28	2.62012	4.20608
2.29	2.60736	4.1233
2.3	2.59584	4.10498
2.31	2.58271	4.05373
2.32	2.6225	4.16756
2.33	2.58744	4.08213
2.34	2.60744	4.11808
2.35	2.62833	4.19494
2.36	2.60024	4.11514
2.37	2.65562	4.2967
2.38	2.64385	4.23699
2.39	2.65521	4.31182
2.4	2.65706	4.30216
2.41	2.63978	4.26235
2.42	2.61624	4.19586
2.43	2.60507	4.16494
2.44	2.57785	4.10186
2.45	2.63323	4.28537
2.46	2.60753	4.20482
2.47	2.60054	4.17647
2.48	2.57796	4.09353
2.49	2.57958	4.1102
2.5	2.61953	4.19705
2.51	2.6144	4.18526
2.52	2.67392	4.3529
2.53	2.64132	4.27389
2.54	2.63224	4.23697
2.55	2.60695	4.16059
2.56	2.59161	4.12196
2.57	2.58582	4.10694
2.58	2.56667	4.05248
2.59	2.59327	4.13885
2.6	2.62772	4.23646
2.61	2.60687	4.17821
2.62	2.59291	4.13512
2.63	2.58818	4.12076
2.64	2.55805	4.0381
2.65	2.53863	3.94716
2.66	2.57871	4.07072
2.67	2.61177	4.16679
2.68	2.58004	4.07538
2.69	2.63094	4.26902
2.7	2.62595	4.25394
2.71	2.60225	4.18371
2.72	2.62302	4.24187
2.73	2.59152	4.15417
2.74	2.57903	4.10156
2.75	2.55531	4.02103
2.76	2.56467	4.04719
2.77	2.57771	4.06802
2.78	2.5421	4.00524
2.79	2.56942	4.06665
2.8	2.54867	4.00568
2.81	2.54378	3.97369
2.82	2.54165	3.95372
2.83	2.57154	4.03528
2.84	2.57896	4.04258
2.85	2.59023	4.08415
2.86	2.57599	4.02755
2.87	2.566	4.00198
2.88	2.54766	3.96748
2.89	2.5769	4.05148
2.9	2.55117	3.97438
2.91	2.53182	3.90842
2.92	2.54192	3.93899
2.93	2.55105	3.9764
2.94	2.54262	3.95111
2.95	2.55156	3.98108
2.96	2.57625	4.05273
2.97	2.56378	4.01432
2.98	2.5423	3.95443
2.99	2.55403	3.97573
3	2.542	3.93573
3.01	2.56668	4.0154
3.02	2.54647	3.94909
3.03	2.53871	3.93619
3.04	2.56945	4.02399
3.05	2.57069	4.03056
3.06	2.57268	4.03655
3.07	2.6217	4.19214
3.08	2.60842	4.15856
3.09	2.6127	4.15942
3.1	2.59172	4.10846
3.11	2.60726	4.16607
3.12	2.61301	4.19091
3.13	2.59848	4.14651
3.14	2.5947	4.13875
3.15	2.6325	4.26262
3.16	2.62097	4.1915
3.17	2.65254	4.28398
3.18	2.6328	4.23675
3.19	2.63595	4.19747
3.2	2.62588	4.18198
3.21	2.64009	4.19779
3.22	2.63867	4.21348
3.23	2.61849	4.17529
3.24	2.63515	4.20681
3.25	2.62661	4.1624
3.26	2.63398	4.18535
3.27	2.59346	4.08572
3.28	2.62495	4.15181
3.29	2.59251	4.06231
3.3	2.59939	4.08219
3.31	2.61196	4.09378
3.32	2.60079	4.07244
3.33	2.58211	4.03375
3.34	2.58326	4.04583
3.35	2.61934	4.16992
3.36	2.61025	4.15515
3.37	2.63208	4.22131
3.38	2.6195	4.18347
3.39	2.60343	4.12924
3.4	2.58858	4.10105
3.41	2.57217	4.03565
3.42	2.57032	4.01788
3.43	2.57362	4.0203
3.44	2.56652	3.99884
3.45	2.54796	3.91677
3.46	2.52326	3.85534
3.47	2.55109	3.92764
3.48	2.53724	3.88019
3.49	2.5949	4.03134
3.5	2.59567	4.06974
3.51	2.57714	4.00152
3.52	2.57173	3.99492
3.53	2.59374	4.06761
3.54	2.57797	4.02445
3.55	2.57791	3.9963
3.56	2.58405	4.01633
3.57	2.60691	4.10216
3.58	2.62733	4.16358
3.59	2.6234	4.17556
3.6	2.61965	4.18605
3.61	2.61696	4.14565
3.62	2.63341	4.22141
3.63	2.62685	4.21239
3.64	2.60383	4.1383
3.65	2.62979	4.2076
3.66	2.63929	4.22292
3.67	2.60965	4.15426
3.68	2.62783	4.2045
3.69	2.63319	4.22994
3.7	2.60754	4.14617
3.71	2.60674	4.16543
3.72	2.62519	4.2392
3.73	2.6359	4.26166
3.74	2.62546	4.22901
3.75	2.60355	4.1798
3.76	2.59851	4.16019
3.77	2.58868	4.1109
3.78	2.58046	4.09207
3.79	2.57819	4.07819
3.8	2.58849	4.11553
3.81	2.57421	4.0793
3.82	2.57544	4.06648
3.83	2.57964	4.09113
3.84	2.55757	4.03063
3.85	2.54842	3.98993
3.86	2.57429	4.05841
3.87	2.57152	4.06945
3.88	2.59406	4.129
3.89	2.5974	4.15211
3.9	2.59273	4.14214
3.91	2.59692	4.16299
3.92	2.59875	4.16078
3.93	2.58908	4.12788
3.94	2.60185	4.17144
3.95	2.58767	4.13486
3.96	2.60816	4.19032
3.97	2.6283	4.27772
3.98	2.62018	4.24552
3.99	2.60258	4.19482
4	2.61918	4.21436
4.01	2.59646	4.16665
4.02	2.61784	4.24462
4.03	2.59964	4.19102
4.04	2.60324	4.20267
4.05	2.59232	4.17018
4.06	2.61959	4.22149
4.07	2.60786	4.17806
4.08	2.58679	4.11884
4.09	2.60621	4.19421
4.1	2.59283	4.13558
4.11	2.60554	4.19606
4.12	2.6118	4.22235
4.13	2.59998	4.17711
4.14	2.6081	4.19703
4.15	2.59263	4.16599
4.16	2.61939	4.21456
4.17	2.60616	4.18893
4.18	2.60913	4.19959
4.19	2.59654	4.14046
4.2	2.58703	4.13111
4.21	2.57843	4.09463
4.22	2.58617	4.09603
4.23	2.55249	4.00474
4.24	2.57539	4.04397
4.25	2.58374	4.0737
4.26	2.58439	4.07998
4.27	2.5874	4.09211
4.28	2.60343	4.13263
4.29	2.60276	4.14009
4.3	2.59513	4.11545
4.31	2.60135	4.15322
4.32	2.58524	4.11658
4.33	2.55974	4.02648
4.34	2.54236	3.95582
4.35	2.5484	3.97947
4.36	2.57148	4.02045
4.37	2.57017	4.01706
4.38	2.58153	4.03939
4.39	2.56084	3.98084
4.4	2.57166	4.01237
4.41	2.57419	4.01772
4.42	2.58282	4.05969
4.43	2.5828	4.05473
4.44	2.58944	4.07645
4.45	2.56941	4.0193
4.46	2.57623	4.03758
4.47	2.56949	4.02762
4.48	2.59253	4.09038
4.49	2.575	4.03034
4.5	2.57032	3.9985
4.51	2.57725	3.99786
4.52	2.59213	4.03789
4.53	2.59244	4.06011
4.54	2.65275	4.24002
4.55	2.64939	4.22669
4.56	2.61834	4.15446
4.57	2.62108	4.16504
4.58	2.63308	4.18896
4.59	2.61455	4.14653
4.6	2.61199	4.14062
4.61	2.60682	4.13795
4.62	2.60853	4.14114
4.63	2.61003	4.13624
4.64	2.58963	4.08823
4.65	2.59848	4.11226
